,time,zerocol,pupil_high_low
3964,3.572,0,1
3965,3.576,0,1
3966,3.58,0,1
3967,3.584,0,1
3968,3.588,0,1
3969,3.592,0,1
3970,3.596,0,1
3971,3.6,0,1
3972,3.604,0,1
3973,3.608,0,1
3974,3.612,0,1
3975,3.616,0,1
3976,3.62,0,1
3977,3.624,0,1
3978,3.628,0,1
3979,3.632,0,1
3980,3.636,0,1
3981,3.64,0,1
3982,3.644,0,1
3983,3.648,0,1
3984,3.652,0,1
3985,3.656,0,1
3986,3.66,0,1
3987,3.664,0,1
3988,3.668,0,1
3989,3.672,0,1
3990,3.676,0,1
3991,3.68,0,1
3992,3.684,0,1
3993,3.688,0,1
3994,3.692,0,1
3995,3.696,0,1
3996,3.7,0,1
3997,3.704,0,1
3998,3.708,0,1
3999,3.712,0,1
4000,3.716,0,1
4001,3.72,0,1
4002,3.724,0,1
4003,3.728,0,1
4004,3.732,0,1
4005,3.736,0,1
4006,3.74,0,1
4007,3.744,0,1
4008,3.748,0,1
4009,3.752,0,1
4010,3.756,0,1
4011,3.76,0,1
4012,3.764,0,1
4013,3.768,0,1
4014,3.772,0,1
4015,3.776,0,1
4016,3.78,0,1
4017,3.784,0,1
4018,3.788,0,1
4019,3.792,0,1
4020,3.796,0,0
4021,3.8,0,0
4022,3.804,0,0
4023,3.808,0,0
4024,3.812,0,0
4025,3.816,0,0
4026,3.82,0,0
4027,3.824,0,0
4028,3.828,0,0
4029,3.832,0,0
4030,3.836,0,0
4031,3.84,0,0
4032,3.844,0,0
4033,3.848,0,0
4034,3.852,0,0
4035,3.856,0,0
4036,3.86,0,0
4037,3.864,0,0
4038,3.868,0,0
4039,3.872,0,0
4040,3.876,0,0
4041,3.88,0,0
4042,3.884,0,0
4043,3.888,0,0
4044,3.892,0,0
4045,3.896,0,1
4046,3.9,0,1
4047,3.904,0,1
4048,3.908,0,1
4049,3.912,0,1
4050,3.916,0,1
4051,3.92,0,1
4052,3.924,0,1
4053,3.928,0,1
4054,3.932,0,1
4055,3.936,0,1
4056,3.94,0,1
4057,3.944,0,1
4058,3.948,0,1
4059,3.952,0,1
4060,3.956,0,1
4061,3.96,0,1
4062,3.964,0,1
4063,3.968,0,1
4064,3.972,0,1
4065,3.976,0,1
4066,3.98,0,1
4067,3.984,0,1
4068,3.988,0,1
4069,3.992,0,1
4070,3.996,0,1
4071,4.0,0,1
4072,4.004,0,1
4073,4.008,0,1
4074,4.012,0,1
4075,4.016,0,1
4076,4.02,0,1
4077,4.024,0,1
4078,4.028,0,1
4079,4.032,0,1
4080,4.036,0,1
4081,4.04,0,1
4082,4.044,0,1
4083,4.048,0,1
4084,4.052,0,1
4085,4.056,0,1
4086,4.06,0,1
4087,4.064,0,1
4088,4.068,0,1
4089,4.072,0,1
4090,4.076,0,1
4091,4.08,0,1
4092,4.084,0,1
4093,4.088,0,1
4094,4.092,0,1
4095,4.096,0,1
4096,4.1,0,1
4097,4.104,0,1
